,planet_name,hostname,sys_num_stars,sys_num_planet,discovery_method,discovery_year,discovery_telescope,orbital_period,orbital_semi_major,planet_radius_earth,planet_radius_jupiter,planet_mass_earth,planet_mass_jupiter,eccentricity,stellar_eff_temp,stellar_radius,stellar_mass,dist_system,dist_system_ly
2616,MASCARA-4 b,MASCARA-4,2,1,Transit,2020,Multiple Telescopes,2.82406,0.047,17.15,1.53,985.273,3.1,0.0,7800.0,1.92,1.75,170.696,556.810352
2617,WASP-85 A b,WASP-85 A,2,1,Transit,2016,0.95 m Kepler Telescope,2.6556777,0.039,13.899,1.24,402.05495,1.265,0.0,6112.0,0.94,1.09,141.887,462.835394
2618,WASP-91 b,WASP-91,1,1,Transit,2017,Canon 200mm f/1.8L,2.798581,0.037,11.545,1.03,425.8922,1.34,0.0,4920.0,0.86,0.84,149.942,489.11080400000003
2619,EPIC 249893012 d,EPIC 249893012,1,3,Transit,2020,0.95 m Kepler Telescope,35.747,0.22,3.94,0.352,10.18,0.03203,0.15,5430.0,1.71,1.05,321.296,1048.067552
2620,GJ 15 A c,GJ 15 A,2,2,Radial Velocity,2018,3.58 m Telescopio Nazionale Galileo,7600.0,5.4,6.67,0.595,36.0,0.11327,0.27,3607.0,0.38,0.38,3.56228,11.62015736
2621,GJ 1132 b,GJ 1132,1,2,Transit,2015,MEarth-South telescope array,1.628931,0.0153,1.13,0.101,1.66,0.00522,0.22,3270.0,0.21,0.18,12.613,41.143606
2622,GJ 1265 b,GJ 1265,1,1,Radial Velocity,2018,3.5 m telescope,3.6511,0.026,2.63,0.234,7.4,0.02328,0.04,3236.0,0.19,0.18,10.2525,33.443655
2623,Kepler-1683 b,Kepler-1683,1,1,Transit,2020,0.95 m Kepler Telescope,15.0337,0.1182,1.875,0.167,4.17,0.0131,0.0,5429.0,0.9,0.95,733.143,2391.512466
2624,WASP-38 b,WASP-38,1,1,Transit,2010,Canon 200mm f/1.8L,6.87188,0.07522,13.787,1.23,1093.3352,3.44,0.03,6180.0,1.52,1.76,136.24,444.41488000000004
2625,Kepler-1345 b,Kepler-1345,1,1,Transit,2016,0.95 m Kepler Telescope,44.6169557,0.2638,2.36,0.211,6.17,0.0194,0.0,6449.0,1.55,1.32,1355.02,4420.07524
2626,kap And b,kap And,1,1,Imaging,2012,8.2 m Subaru Telescope,,55.0,12.3,1.1,4327.36,13.616,,10900.0,2.31,2.6,50.0177,163.1577374
2627,ome Ser b,ome Ser,2,1,Radial Velocity,2013,1.88 m Telescope,277.02,1.1,13.5,1.2,540.3,1.7,0.106,4770.0,12.3,2.17,76.7556,250.37676720000002
2628,psi 1 Dra B b,psi 1 Dra B,3,1,Radial Velocity,2015,2.7m Harlan J. Smith Telescope,3117.0,4.43,13.5,1.21,486.2799,1.53,0.4,6212.0,1.26,1.19,22.7188,74.1087256
2629,tau Gem b,tau Gem,1,1,Radial Velocity,2013,0.6 m Coude Auxiliary Telescope,305.5,1.17,12.1,1.08,6547.0,20.6,0.031,4388.0,26.8,2.3,112.537,367.09569400000004
2630,GJ 273 b,GJ 273,1,2,Radial Velocity,2017,3.6 m ESO Telescope,18.6498,0.091101,1.51,0.135,2.89,0.00909,0.1,3382.0,0.29,0.29,5.921535,19.31604717
2631,GJ 163 c,GJ 163,1,3,Radial Velocity,2013,3.6 m ESO Telescope,25.63058,0.1254,2.5,0.223,6.8,0.0214,0.099,3500.0,0.41,0.4,15.1285,49.349167
2632,bet Pic b,bet Pic,1,2,Imaging,2008,8.2 m ESO VLT UT4 Yepun Telescope,7665.0,9.1,18.495,1.65,3496.13,11.0,0.08,8038.68,1.54,1.76,19.7442,64.40558039999999
2633,omi CrB b,omi CrB,1,1,Radial Velocity,2012,1.88 m Telescope,187.83,0.83,13.6,1.21,476.745,1.5,0.191,4749.0,10.5,2.13,84.7883,276.5794346
2634,tau Boo b,tau Boo,2,1,Radial Velocity,1996,3.0 m C. Donald Shane Telescope,3.3124568,0.049,12.8,1.14,1891.0,5.95,0.011,6466.27,1.43,1.32,15.6521,51.0571502
2635,HD 152843 b,HD 152843,1,2,Transit,2021,0.1 m TESS Telescope,11.6264,0.1053,3.41,0.304,11.56,0.03637,0.14,6310.0,1.43,1.15,107.898,351.963276
2636,HD 152843 c,HD 152843,1,2,Transit,2021,0.1 m TESS Telescope,24.38,,5.83,0.52,27.5,0.08652,0.115,6310.0,1.43,1.15,107.898,351.963276
2637,HD 107148 c,HD 107148,2,2,Radial Velocity,2021,Multiple Telescopes,18.3267,0.1407,4.7,0.42,19.89606,0.0626,0.34,5752.92,1.17,1.11,49.4156,161.1936872
2638,HD 136925 b,HD 136925,1,1,Radial Velocity,2021,Multiple Telescopes,4540.0,5.13,13.9,1.24,266.97586,0.84,0.103,5773.19,1.19,0.88,47.874,156.164988
2639,HD 141004 b,HD 141004,1,1,Radial Velocity,2021,Multiple Telescopes,15.5083,0.1238,3.77,0.336,13.63484,0.0429,0.16,5885.38,1.39,1.05,11.8148,38.5398776
2640,HD 145675 c,14 Her,1,2,Radial Velocity,2021,Multiple Telescopes,25000.0,16.4,12.8,1.14,1843.40476,5.8,0.45,5314.94,1.0,0.97,17.9323,58.49516260000001
2641,HD 156668 c,HD 156668,1,2,Radial Velocity,2021,Multiple Telescopes,811.3,1.57,6.17,0.55,31.4968,0.0991,0.089,4903.69,0.77,0.79,24.3323,79.3719626
2642,HD 164922 e,HD 164922,1,4,Radial Velocity,2021,Multiple Telescopes,41.763,0.2292,3.23,0.288,10.52012,0.0331,0.086,5393.43,1.0,0.92,22.0016,71.7692192
2643,HD 168009 b,HD 168009,1,1,Radial Velocity,2021,Multiple Telescopes,15.1479,0.1192,3.05,0.272,9.53485,0.03,0.12,5778.33,1.21,0.99,23.3032,76.0150384
2644,HD 213472 b,HD 213472,1,1,Radial Velocity,2021,Multiple Telescopes,17000.0,13.0,13.1,1.17,1112.39942,3.5,0.53,5729.54,1.43,1.05,64.4527,210.24470739999998
2645,HD 24040 c,HD 24040,1,2,Radial Velocity,2021,Multiple Telescopes,515.4,1.3,9.35,0.834,63.88351,0.201,0.11,5776.49,1.39,1.1,46.6224,152.0822688
2646,HD 26161 b,HD 26161,1,1,Radial Velocity,2021,Multiple Telescopes,32000.0,20.4,12.3,1.1,4290.68349,13.5,0.82,6057.62,1.46,1.13,40.9128,133.45755359999998
2647,HD 3765 b,HD 3765,1,1,Radial Velocity,2021,Multiple Telescopes,1211.0,2.108,8.56,0.764,54.98431,0.173,0.298,5049.8,0.83,0.85,17.926,58.47461199999999
2648,HD 66428 c,HD 66428,1,2,Radial Velocity,2021,Multiple Telescopes,39000.0,23.0,11.9,1.07,8581.36699,27.0,0.32,5647.6,1.17,1.05,53.2817,173.8049054
2649,HD 68988 c,HD 68988,1,2,Radial Velocity,2021,Multiple Telescopes,16000.0,13.2,12.3,1.09,4767.4261,15.0,0.45,5883.41,1.26,1.17,60.8447,198.4754114
2650,HD 95735 c,GJ 411,1,2,Radial Velocity,2021,Multiple Telescopes,3190.0,3.1,4.44,0.396,18.05265,0.0568,0.14,3719.95,0.37,0.39,5.675773,18.514371526
2651,WASP-110 b,WASP-110,1,1,Transit,2021,8.2 m ESO VLT UT1 Antu Telescope,3.77840121,,13.877,1.238,162.09249,0.51,0.0,5400.0,0.86,0.95,274.96,896.9195199999999
2652,KOI-1831 d,Kepler-324,1,3,Transit,2021,0.95 m Kepler Telescope,34.169,0.1949,1.13,0.101,2.23,0.00702,0.0,5233.0,0.83,0.9,501.574,1636.134388
2653,KOI-3503 b,KOI-3503,1,2,Transit,2021,0.95 m Kepler Telescope,21.185,0.1462,1.19,0.106,9.2,0.02895,0.0,6001.0,1.25,0.86,887.064,2893.6027679999997
2654,KOI-1833 d,Kepler-968,1,3,Transit,2021,0.95 m Kepler Telescope,7.685,0.0634,2.58,0.23,11.02,0.03467,0.0,4413.0,0.67,0.68,290.324,947.0368880000001
2655,KOI-3503 c,KOI-3503,1,2,Transit,2021,0.95 m Kepler Telescope,31.828,0.1911,1.21,0.108,10.36,0.0326,0.0,6001.0,1.25,0.86,887.064,2893.6027679999997
2656,WASP-5 b,WASP-5,1,1,Transit,2008,Canon 200mm f/1.8L,1.6284279,0.0267,12.184,1.087,502.15,1.58,0.038,5700.0,1.03,0.96,309.137,1008.404894
2657,GJ 667 C f,GJ 667 C,3,5,Radial Velocity,2013,3.6 m ESO Telescope,39.026,0.156,1.45,0.129,2.7,0.008,0.03,3350.0,,0.33,7.24396,23.62979752
2658,WASP-53 c,WASP-53,1,2,Radial Velocity,2017,Multiple Telescopes,2840.0,3.73,,,5196.5205,16.35,0.8369,4953.0,0.8,0.84,201.338,656.764556
